Date,Open,High,Low,Close,Adj Close,Volume
2009-12-01,145.354996,155.500000,145.354996,153.990005,144.129593,4338810
2009-12-02,156.399994,160.000000,148.660004,149.720001,140.133011,4689480
2009-12-03,150.014999,152.100006,148.750000,149.475006,139.903687,2534030
2009-12-04,148.500000,150.880005,145.110001,148.270004,138.775833,1216690
2009-12-07,148.509995,149.789993,144.110001,145.190002,135.893051,1559620
2009-12-08,145.300003,148.199997,144.535004,146.479996,137.100494,1795420
2009-12-09,147.000000,149.695007,143.910004,147.994995,138.518448,2182250
2009-12-10,149.500000,149.500000,144.899994,145.274994,135.972641,1275630
2009-12-11,146.100006,146.940002,143.005005,144.225006,134.989868,1726640
2009-12-14,144.199997,147.800003,144.199997,145.535004,136.215958,1368280
2009-12-15,146.199997,146.899994,144.625000,145.380005,136.070908,915890
2009-12-16,146.800003,148.000000,145.320007,147.320007,137.886673,1155240
2009-12-17,147.990005,149.759995,146.005005,148.895004,139.360840,1802490
2009-12-18,149.470001,152.250000,147.699997,150.475006,140.839645,2254220
2009-12-21,150.899994,151.399994,147.509995,149.835007,140.240646,1124660
2009-12-22,151.399994,151.500000,147.949997,150.294998,140.671188,1466110
2009-12-23,null,null,null,null,null,null
2009-12-24,null,null,null,null,null,null
2009-12-29,null,null,null,null,null,null
2009-12-30,null,null,null,null,null,null
2009-12-31,null,null,null,null,null,null
2010-01-04,153.800003,153.800003,150.110001,150.735001,141.083023,831170
2010-01-05,152.199997,155.880005,151.304993,155.264999,145.322952,1231990
2010-01-06,155.505005,158.149994,153.210007,157.279999,147.208893,1882490
2010-01-07,157.895004,157.895004,153.335007,154.884995,144.967255,923100
2010-01-08,155.580002,160.500000,155.005005,157.494995,147.410141,3298080
2010-01-11,158.570007,159.440002,156.485001,157.470001,147.386734,1032970
2010-01-12,157.470001,158.979996,154.800003,157.179993,147.115311,1534080
2010-01-13,155.500000,157.365005,152.835007,154.779999,144.868973,934880
2010-01-14,157.000000,158.100006,155.024994,155.949997,145.964081,1520300
2010-01-15,155.500000,156.750000,152.000000,152.509995,142.744354,1165560
2010-01-18,152.500000,154.785004,151.000000,151.645004,141.934769,1561220
2010-01-19,152.699997,152.699997,147.309998,148.589996,139.075363,852620
2010-01-20,148.005005,149.380005,146.580002,147.335007,137.900742,1596560
2010-01-21,147.300003,149.380005,145.500000,146.485001,137.105164,1417400
2010-01-22,145.000000,145.000000,140.000000,143.199997,134.030457,3423490
2010-01-25,144.449997,145.600006,140.000000,144.449997,135.200455,2196320
2010-01-27,143.600006,144.485001,140.289993,142.100006,133.000931,2767580
2010-01-28,142.500000,148.994995,141.009995,144.619995,135.359573,3399690
2010-01-29,142.000000,152.500000,142.000000,147.304993,137.872635,3314050
2010-02-01,144.625000,152.490005,143.360001,150.649994,141.003448,2688440
2010-02-02,151.800003,153.804993,148.509995,151.360001,141.668015,2939510
2010-02-03,151.600006,153.500000,149.710007,150.145004,140.530807,1224590
2010-02-04,151.199997,151.500000,147.000000,149.914993,140.315521,5378300
2010-02-05,149.000000,149.970001,145.600006,147.389999,137.952194,3625520
2010-02-06,null,null,null,null,null,null
2010-02-08,149.800003,152.300003,147.110001,151.175003,141.494873,1833970
2010-02-09,151.800003,155.100006,149.500000,154.235001,144.358871,1626630
